,challenge_ID,programming_language,author_ID,Year,total_submissions
54,CI24522,1,AI564275,2006,3702.0
55,CI25123,1,AI563924,2007,3670.0
56,CI27648,1,AI566296,2004,3616.0
57,CI25140,1,AI564746,2007,3615.0
58,CI27456,1,AI566180,2008,3484.0
59,CI25124,1,AI563691,2007,3449.0
60,CI23848,1,AI563867,2004,3395.0
61,CI24491,1,AI563576,2006,3394.0
62,CI28569,1,AI566667,2009,3378.0
63,CI24150,1,AI564061,2005,3369.0
64,CI25125,1,AI563732,2007,3364.0
65,CI25057,1,AI564685,2007,3360.0
66,CI24953,1,AI563708,2007,3341.0
67,CI24944,1,AI563790,2007,3274.0
68,CI23880,1,AI563889,2005,3237.0
69,CI26820,1,AI565905,2005,3144.0
70,CI27209,1,AI565924,2008,3123.0
71,CI26953,1,AI565909,2005,3097.0
72,CI26904,1,AI565468,2002,3093.0
73,CI24117,1,AI563816,2006,3010.0
74,CI24026,1,AI563990,2005,2976.0
75,CI25409,1,AI564062,2007,2960.0
76,CI27569,1,AI566258,2008,2942.0
77,CI26392,1,AI565606,2008,2910.0
78,CI25575,1,AI565076,2007,2889.0
79,CI23781,1,AI563816,2003,2868.0
80,CI25075,1,AI564686,2007,2842.0
81,CI24187,1,AI564088,2003,2836.0
82,CI25469,1,AI564990,2007,2816.0
83,CI26942,1,AI565909,2005,2811.0
84,CI26917,1,AI565468,2002,2773.0
85,CI24206,1,AI564105,2004,2736.0
86,CI26158,1,AI565468,1999,2735.0
87,CI26059,1,AI565404,2007,2732.0
88,CI28570,1,AI563766,2009,2721.0
89,CI24532,1,AI564344,2006,2719.0
90,CI25361,1,AI564910,2006,2654.0
91,CI24121,1,AI564043,2005,2653.0
92,CI27420,1,AI565258,2008,2636.0
93,CI25175,1,AI564771,2007,2627.0
94,CI25302,1,AI564862,2007,2626.0
95,CI26941,1,AI565910,2005,2613.0
96,CI25433,1,AI564961,2007,2600.0
97,CI25414,1,AI564947,2007,2589.0
98,CI26954,1,AI565909,2005,2574.0
99,CI26337,1,AI565564,2008,2570.0
100,CI26160,1,AI565468,1999,2550.0
101,CI25143,1,AI564105,2007,2526.0
102,CI27749,1,AI566354,2008,2505.0
103,CI26220,1,AI565468,1999,2482.0
104,CI28586,1,AI563915,2009,2422.0
105,CI25359,1,AI564908,2006,2421.0
106,CI26169,1,AI565468,1999,2413.0
107,CI26060,1,AI565405,2007,2384.0
108,CI26287,1,AI565527,2008,2376.0
109,CI25090,1,AI564714,2007,2359.0
110,CI24930,1,AI564600,2007,2353.0
111,CI24004,1,AI563972,2004,2350.0
112,CI24268,1,AI564137,2005,2344.0
113,CI24188,1,AI564089,2003,2337.0
114,CI23906,1,AI563910,2006,2326.0
115,CI24868,1,AI564550,2007,2309.0
116,CI26050,1,AI563781,2008,2302.0
117,CI28530,1,AI566678,2009,2301.0
118,CI27649,1,AI566296,2004,2267.0
119,CI24957,1,AI563790,2007,2241.0
120,CI23836,1,AI563859,2006,2238.0
121,CI25353,1,AI564902,2007,2218.0
122,CI26214,1,AI565468,1999,2194.0
123,CI26219,1,AI565468,1999,2193.0
124,CI25172,1,AI564768,2007,2189.0
125,CI24806,2,AI564508,2007,2187.0
126,CI23648,1,AI563691,2006,2186.0
127,CI23662,1,AI563710,2004,2142.0
128,CI26248,1,AI565468,1999,2131.0
129,CI24867,1,AI564549,2007,2056.0
130,CI27920,1,AI566422,2009,2053.0
131,CI23866,1,AI563879,2005,2036.0
132,CI26174,1,AI565468,1999,2033.0
133,CI26833,1,AI565905,2005,2015.0
134,CI24808,2,AI564510,2007,2011.0
135,CI24115,1,AI563823,2006,2005.0
136,CI24866,1,AI563732,2007,2001.0
137,CI26159,1,AI565468,1999,1962.0
138,CI24924,1,AI564595,2007,1953.0
139,CI24461,1,AI564294,2006,1940.0
140,CI27548,1,AI566242,2008,1938.0
141,CI24919,1,AI564590,2007,1931.0
142,CI26058,1,AI565403,2008,1924.0
143,CI27014,1,AI565908,2001,1915.0
144,CI26154,1,AI565468,1999,1904.0
145,CI25706,1,AI565171,2007,1878.0
146,CI27808,1,AI566371,2004,1877.0
147,CI27235,1,AI563969,2008,1854.0
148,CI25366,1,AI564913,2007,1842.0
149,CI26867,1,AI565468,2004,1827.0
150,CI24950,1,AI564012,2007,1825.0
151,CI25055,1,AI563576,2007,1823.0
152,CI26162,1,AI565468,1999,1818.0
153,CI26855,1,AI565468,2004,1818.0
154,CI24916,1,AI563737,2007,1786.0
155,CI25284,1,AI564848,2007,1777.0
156,CI24955,1,AI563708,2007,1774.0
157,CI24003,1,AI563971,2006,1773.0
158,CI24692,1,AI564433,2006,1748.0
159,CI24228,1,AI563732,2004,1746.0
160,CI27653,1,AI566297,2004,1722.0
161,CI26984,1,AI565908,2001,1718.0
162,CI25022,1,AI564549,2007,1716.0
163,CI27455,1,AI566179,2008,1710.0
164,CI25336,1,AI564418,2006,1704.0
165,CI26943,1,AI565910,2005,1699.0
166,CI24840,1,AI563616,2007,1649.0
167,CI26389,1,AI565602,2008,1645.0
168,CI26210,1,AI565468,1999,1642.0
169,CI26212,1,AI565468,1999,1641.0
170,CI24969,1,AI564624,2007,1641.0
171,CI25210,1,AI564796,2007,1639.0
172,CI26902,1,AI565468,2002,1636.0
173,CI26945,1,AI565909,2005,1626.0
174,CI25501,1,AI563611,2007,1624.0
175,CI25338,1,AI563576,2007,1624.0
176,CI26161,1,AI565468,1999,1620.0
177,CI27467,1,AI566190,2008,1618.0
178,CI23812,1,AI563840,2004,1595.0
179,CI26190,1,AI565469,2003,1594.0
180,CI25062,1,AI564689,2007,1594.0
181,CI23653,1,AI563576,2005,1591.0
182,CI23922,1,AI563921,2006,1588.0
183,CI28568,1,AI563754,2009,1585.0
184,CI25333,1,AI564890,2007,1570.0
185,CI27175,1,AI565976,2008,1564.0
186,CI24942,1,AI564611,2007,1559.0
187,CI26208,1,AI565468,1999,1552.0
188,CI23932,1,AI563691,2006,1550.0
189,CI26503,1,AI565691,2008,1543.0
190,CI23770,1,AI563805,2005,1542.0
191,CI24531,1,AI564345,2006,1528.0
192,CI27173,1,AI563954,2008,1527.0
193,CI25715,1,AI564508,2007,1526.0
194,CI27018,1,AI565908,1999,1521.0
195,CI23856,1,AI563872,2003,1520.0
196,CI23958,1,AI563758,2006,1515.0
197,CI24024,1,AI563988,2003,1511.0
198,CI24281,1,AI564147,2004,1497.0
199,CI23929,1,AI563789,2006,1496.0
200,CI25064,1,AI564691,2007,1492.0
201,CI27193,1,AI563969,2008,1490.0
202,CI27650,1,AI566296,2004,1486.0
203,CI25551,1,AI565020,2007,1472.0
204,CI25282,1,AI564846,2007,1470.0
205,CI24876,1,AI563920,2007,1467.0
206,CI26957,1,AI565910,2005,1465.0
207,CI26397,1,AI565611,2008,1463.0
208,CI24031,1,AI563747,2005,1461.0
209,CI25119,1,AI564736,2007,1453.0
210,CI24939,1,AI564608,2007,1453.0
211,CI25117,1,AI564734,2007,1450.0
212,CI26247,1,AI565468,1999,1437.0
213,CI23483,2,,2006,1434.0
214,CI24524,1,AI564346,2006,1429.0
215,CI23510,1,AI563606,2004,1418.0
216,CI23937,1,AI563931,2004,1417.0
217,CI24940,1,AI564609,2007,1416.0
218,CI27816,1,AI566376,2007,1408.0
219,CI27233,1,AI566016,2008,1406.0
220,CI26903,1,AI565468,2002,1403.0
221,CI24968,1,AI563778,2007,1401.0
222,CI24205,1,AI564104,2005,1398.0
223,CI26944,1,AI565909,2005,1385.0
224,CI27669,1,AI566296,2004,1379.0
225,CI25507,1,AI565017,2007,1367.0
226,CI25644,1,AI565122,2007,1360.0
227,CI24157,1,AI564065,2005,1359.0
228,CI27928,1,AI566427,2009,1358.0
229,CI26857,1,AI565468,2004,1356.0
230,CI23546,1,AI563638,2006,1355.0
231,CI23651,1,AI563721,2006,1351.0
232,CI25054,1,AI564549,2007,1349.0
233,CI27461,1,AI566184,2008,1346.0
234,CI26946,1,AI565909,2005,1338.0
235,CI24120,1,AI563655,2005,1332.0
236,CI26171,1,AI565468,1999,1313.0
237,CI24175,1,AI564082,2006,1310.0
238,CI27927,1,AI566426,2009,1309.0
239,CI24014,1,AI563980,2006,1292.0
240,CI23697,1,AI563754,2004,1280.0
241,CI25733,1,AI563754,2008,1280.0
242,CI25081,1,AI564706,2007,1280.0
243,CI25406,1,AI564944,2007,1273.0
244,CI27010,1,AI565908,2001,1273.0
245,CI25093,1,AI564275,2007,1272.0
246,CI27276,1,AI566051,2008,1269.0
247,CI25636,1,AI564275,2007,1268.0
248,CI24925,1,AI564595,2007,1266.0
249,CI26999,1,AI565908,2001,1262.0
250,CI25127,1,AI564275,2007,1262.0
251,CI25058,1,AI564686,2007,1262.0
252,CI26170,1,AI565468,1999,1258.0
253,CI25277,1,AI564842,2007,1254.0
254,CI27921,1,AI566423,2009,1250.0
255,CI23887,1,AI563826,2006,1248.0
256,CI24214,1,AI564108,2005,1247.0
257,CI25493,1,AI565010,2007,1246.0
258,CI25468,1,AI564989,2007,1237.0
259,CI26249,1,AI564039,2008,1234.0
260,CI26030,1,AI565391,2007,1227.0
261,CI26218,1,AI565468,1999,1223.0
262,CI27141,1,AI564389,2008,1218.0
263,CI27124,1,AI563754,2008,1213.0
264,CI26216,1,AI565468,1999,1211.0
265,CI25672,1,AI563750,2007,1210.0
266,CI26217,1,AI565468,1999,1206.0
267,CI28086,1,AI565691,2009,1204.0
268,CI25781,1,AI565219,2007,1203.0
269,CI24252,1,AI563724,2005,1201.0
270,CI25105,1,AI564726,2007,1201.0
271,CI26209,1,AI565468,1999,1197.0
272,CI25363,1,AI563611,2007,1192.0
273,CI24992,1,AI563778,2007,1190.0
274,CI23790,1,AI563822,2005,1190.0
275,CI25121,1,AI564738,2006,1189.0
276,CI25356,1,AI564905,2006,1183.0
277,CI24273,1,AI564139,2006,1183.0
278,CI26905,1,AI565468,2002,1181.0
279,CI25367,1,AI564914,2006,1177.0
280,CI23533,1,AI563626,2006,1169.0
281,CI23999,1,AI563924,2006,1165.0
282,CI23504,1,AI563600,2003,1154.0
283,CI26036,1,AI565394,2007,1154.0
284,CI26193,1,AI565469,2003,1149.0
285,CI25880,1,AI565289,2007,1148.0
286,CI25365,1,AI564912,2007,1146.0
287,CI25542,1,AI565049,2007,1140.0
288,CI24254,1,AI564131,2005,1135.0
289,CI24871,1,AI564553,2007,1134.0
290,CI23776,1,AI563811,2006,1134.0
291,CI23554,1,AI563646,2003,1134.0
292,CI25087,1,AI564711,2007,1131.0
293,CI28573,1,AI565833,2009,1123.0
294,CI25572,1,AI565073,2007,1122.0
295,CI23791,1,AI563823,2006,1119.0
296,CI26221,1,AI565468,1999,1119.0
297,CI24690,1,AI563611,2007,1118.0
298,CI26912,1,AI565468,2002,1113.0
299,CI27442,1,AI563841,2008,1097.0
300,CI25362,1,AI564911,2007,1097.0
301,CI26166,1,AI565468,1999,1096.0
302,CI26502,1,AI564349,2008,1089.0
303,CI25118,1,AI564735,2006,1086.0
304,CI25149,1,AI563691,2007,1082.0
305,CI25631,1,AI564862,2007,1077.0
306,CI26054,1,AI563960,2008,1076.0
307,CI25200,1,AI564726,2007,1072.0
308,CI26949,1,AI565909,2005,1071.0
309,CI24533,1,AI564345,2006,1063.0
310,CI25674,1,AI565145,2007,1060.0
311,CI23741,1,AI563787,2006,1055.0
312,CI24607,1,AI564215,2004,1055.0
313,CI26930,1,AI565468,2002,1052.0
314,CI23992,1,AI563968,2006,1049.0
315,CI24107,1,AI563655,2006,1047.0
316,CI25735,1,AI563872,2008,1044.0
317,CI24880,1,AI564557,2007,1043.0
318,CI26931,1,AI565468,2002,1041.0
319,CI25335,1,AI564892,2007,1040.0
320,CI24184,1,AI564087,2003,1036.0
321,CI28572,1,AI566693,2009,1029.0
322,CI25603,1,AI565096,2001,1026.0
323,CI24259,1,AI563645,2005,1021.0
324,CI24956,1,AI563894,2007,1018.0
325,CI25714,1,AI565179,2007,1013.0
326,CI27800,1,AI566371,2004,1005.0
327,CI24723,1,AI564453,2007,1004.0
328,CI24887,1,AI564562,2007,1004.0
329,CI23921,1,AI563872,2006,999.0
330,CI24224,1,AI564115,2005,994.0
331,CI24860,1,AI563958,2005,994.0
332,CI23503,1,AI563596,2006,992.0
333,CI24052,1,AI564008,2005,989.0
334,CI23565,1,AI563655,2004,987.0
335,CI23568,1,AI563640,2006,984.0
336,CI23805,1,AI563836,2004,982.0
337,CI28119,1,AI565691,2009,980.0
338,CI24177,1,AI563907,2006,975.0
339,CI23782,1,AI563817,2003,973.0
340,CI27900,1,AI566419,2003,972.0
341,CI24220,1,AI564112,2006,965.0
342,CI26915,1,AI565468,2002,962.0
343,CI24135,1,AI564055,2003,960.0
344,CI23840,1,AI563710,2006,955.0
345,CI26177,1,AI565469,2003,947.0
346,CI25937,1,AI565323,2008,935.0
347,CI26920,1,AI565468,2002,935.0
348,CI28578,1,AI564747,2009,933.0
349,CI25494,1,AI565011,2007,928.0
350,CI26834,1,AI565905,2005,926.0
351,CI23637,1,AI563710,2005,924.0
352,CI24139,1,AI563732,2006,921.0
353,CI25600,1,AI565093,2006,920.0
354,CI25368,1,AI564915,2007,917.0
355,CI26950,1,AI565910,2005,917.0
356,CI23795,1,AI563772,2006,916.0
357,CI26067,1,AI565411,2007,915.0
358,CI27059,1,AI565918,2008,915.0
359,CI23529,1,AI563622,2007,912.0
360,CI27924,1,AI565402,2009,911.0
361,CI28042,1,AI563788,2009,902.0
362,CI27796,1,AI566371,2004,902.0
363,CI27651,1,AI566296,2004,900.0
364,CI24721,1,AI564452,2007,895.0
365,CI24927,1,AI564597,2007,894.0
366,CI27019,1,AI565908,1999,893.0
367,CI24966,1,AI564622,2007,892.0
368,CI25633,1,AI565117,2007,891.0
369,CI27020,1,AI565908,1999,888.0
370,CI27037,1,AI565908,1999,885.0
371,CI25731,1,AI564747,2008,885.0
372,CI26947,1,AI565910,2005,884.0
373,CI27161,1,AI565971,2008,883.0
374,CI25716,1,AI565180,2007,883.0
375,CI24680,1,AI563637,2007,882.0
376,CI27780,1,AI566371,2004,881.0
377,CI27781,1,AI566371,2004,880.0
378,CI24974,1,AI564629,2007,875.0
379,CI25053,1,AI564683,2007,874.0
380,CI27779,1,AI566371,2004,872.0
381,CI28719,1,AI566757,2009,871.0
382,CI25351,2,AI564900,2007,871.0
383,CI24633,1,AI564217,2005,871.0
384,CI26951,1,AI565909,2005,871.0
385,CI25578,1,AI564829,2007,870.0
386,CI25455,1,AI564275,2007,870.0
387,CI24857,1,AI564490,2007,867.0
388,CI27790,1,AI566371,2004,865.0
389,CI23841,1,AI563861,2006,858.0
390,CI26178,1,AI565469,2003,858.0
391,CI24030,1,AI563991,2005,857.0
392,CI27422,1,AI563576,2008,856.0
393,CI25561,1,AI563790,2007,856.0
394,CI27801,1,AI566371,2004,855.0
395,CI25274,1,AI564839,2007,854.0
396,CI27048,1,AI565908,1999,850.0
397,CI23539,1,AI563632,2006,848.0
398,CI28582,1,AI566678,2009,846.0
399,CI28982,1,AI566845,2008,844.0
400,CI28025,2,AI566471,2009,842.0
401,CI26629,1,AI565787,2008,840.0
402,CI23831,1,AI563856,2005,838.0
403,CI24701,1,AI564329,2006,838.0
404,CI23768,1,AI563804,2005,838.0
405,CI26194,1,AI565469,2003,837.0
406,CI26620,1,AI565781,2008,836.0
407,CI24946,1,AI564613,2007,836.0
408,CI25091,1,AI564715,2007,836.0
409,CI26195,1,AI565469,2003,835.0
410,CI27418,1,AI565248,2008,834.0
411,CI25555,1,AI565021,2007,832.0
412,CI23514,2,AI563609,2003,829.0
413,CI27592,1,AI566270,2008,829.0
414,CI25815,1,AI563918,2007,828.0
415,CI24965,1,AI564621,2007,822.0
416,CI24933,1,AI564602,2007,822.0
417,CI27470,1,AI565727,2008,821.0
418,CI25141,1,AI563816,2007,818.0
419,CI23555,1,AI563647,2003,818.0
420,CI27802,1,AI566371,2004,818.0
421,CI24086,1,AI564026,2006,816.0
422,CI24875,1,AI564549,2007,815.0
423,CI28480,1,AI563611,2009,815.0
424,CI25514,1,AI564106,2007,813.0
425,CI27795,1,AI566371,2004,812.0
426,CI25177,1,,2007,811.0
427,CI26993,1,AI565908,2001,806.0
428,CI27278,1,AI566053,2008,806.0
429,CI27261,1,AI563811,2008,804.0
430,CI24703,2,AI564437,2007,803.0
431,CI27657,1,AI566297,2004,803.0
432,CI27137,1,AI565468,2004,803.0
433,CI27013,1,AI565908,2001,802.0
434,CI26321,1,AI563576,2008,801.0
435,CI24865,1,AI563754,2007,800.0
436,CI25059,1,AI564687,2007,796.0
437,CI26919,1,AI565468,2002,796.0
438,CI27717,1,AI566322,2008,791.0
439,CI26773,1,AI563940,2008,788.0
440,CI26465,1,AI565658,2008,787.0
441,CI27058,1,AI565917,2008,785.0
442,CI23704,1,AI563759,2006,784.0
443,CI24922,1,AI564593,2007,780.0
444,CI26418,3,AI565618,2008,779.0
445,CI23534,1,AI563627,2006,779.0
446,CI27275,1,AI566050,2008,777.0
447,CI23994,1,AI563969,2005,777.0
448,CI27784,1,AI566371,2004,776.0
449,CI24726,1,AI564456,2007,776.0
450,CI23677,1,AI563733,2006,775.0
451,CI26838,1,AI565906,2005,774.0
452,CI26167,1,AI565468,1999,773.0
453,CI24141,1,AI563732,2002,773.0
454,CI24029,1,AI563991,2005,772.0
455,CI25740,1,AI564105,2008,767.0
456,CI25128,1,AI563940,2007,766.0
457,CI27788,1,AI566371,2004,765.0
458,CI27804,1,AI566371,2004,764.0
459,CI25602,1,AI565095,2005,764.0
460,CI24459,1,AI564293,2006,763.0
461,CI27792,1,AI566371,2004,760.0
462,CI23774,1,AI563809,2005,757.0
463,CI26055,1,AI563781,2008,754.0
464,CI26168,1,AI565468,1999,753.0
465,CI25150,1,AI563825,2007,751.0
466,CI28984,1,AI566845,2008,748.0
467,CI28583,1,AI566694,2009,746.0
468,CI24303,1,AI564167,2004,744.0
469,CI26386,1,AI565602,2008,743.0
470,CI26211,1,AI565468,1999,741.0
471,CI27957,1,AI566446,2008,741.0
472,CI27457,1,AI566181,2008,740.0
473,CI26998,1,AI565908,2001,739.0
474,CI24239,1,AI563865,2006,738.0
475,CI27760,1,AI566365,2007,737.0
476,CI26335,1,AI565562,2008,735.0
477,CI26866,1,AI565468,2004,735.0
478,CI24785,1,AI564259,2007,734.0
479,CI24850,1,AI564540,2007,733.0
480,CI27621,1,AI566282,2008,732.0
481,CI26928,1,AI565468,2002,731.0
482,CI23989,1,AI563965,2006,731.0
483,CI25596,1,AI565089,2007,728.0
484,CI24674,2,AI564420,2007,727.0
485,CI27003,1,AI565908,2001,726.0
486,CI25681,1,AI565150,2007,725.0
487,CI25652,1,AI565130,2007,721.0
488,CI26175,1,AI565468,1999,719.0
489,CI26642,1,AI563745,2008,718.0
490,CI25269,1,AI563611,2007,718.0
491,CI27473,1,AI566195,2008,713.0
492,CI26667,1,AI565812,2008,710.0
493,CI25628,1,AI563825,2007,710.0
494,CI23959,1,AI563758,2006,710.0
495,CI26028,1,AI565389,2007,709.0
496,CI25298,1,AI564132,2007,709.0
497,CI27022,1,AI565908,1999,709.0
498,CI27685,1,AI566302,2008,708.0
499,CI25321,1,AI564880,2007,707.0
500,CI24106,1,AI564037,2006,705.0
501,CI25438,1,AI564966,2007,704.0
502,CI23765,1,AI563758,2006,702.0
503,CI25262,1,AI564831,2007,701.0
504,CI28044,1,AI566483,2009,697.0
505,CI26862,1,AI565468,2004,697.0
506,CI24081,1,AI563968,2005,694.0
507,CI26997,1,AI565908,2001,691.0
508,CI24928,1,AI564598,2007,690.0
509,CI24266,1,AI563780,2005,689.0
510,CI24989,1,AI564641,2007,689.0
511,CI28574,1,AI563872,2009,689.0
512,CI26651,2,AI565801,2008,685.0
513,CI24724,1,AI564454,2007,683.0
514,CI24267,1,AI563576,2005,683.0
515,CI28571,1,AI563732,2009,682.0
516,CI24963,1,AI563856,2007,681.0
517,CI26181,1,AI565469,2003,680.0
518,CI26847,1,AI565906,2005,680.0
519,CI23744,1,AI563790,2006,680.0
520,CI26992,1,AI565908,2001,680.0
521,CI28319,1,AI566535,2009,680.0
522,CI23970,1,AI563950,2006,679.0
523,CI26859,1,AI565468,2004,679.0
524,CI24670,1,AI564418,2006,678.0
525,CI26911,1,AI565468,2002,677.0
526,CI25216,1,AI564039,2007,671.0
527,CI27926,1,AI566425,2009,670.0
528,CI27666,1,AI566296,2004,670.0
529,CI25576,1,AI565077,2007,670.0
530,CI25694,1,AI565159,2007,669.0
531,CI25295,1,AI564857,2007,669.0
532,CI24143,1,AI564057,2006,668.0
533,CI26286,1,AI565526,2008,668.0
534,CI28478,1,AI566659,2009,668.0
535,CI27787,1,AI566371,2004,666.0
536,CI28200,1,AI566554,2009,666.0
537,CI25322,1,AI564881,2007,663.0
538,CI24248,1,AI564128,2006,662.0
539,CI26799,1,AI564450,2008,661.0
540,CI23669,1,AI563734,2004,661.0
541,CI25416,1,AI564082,2007,661.0
542,CI25304,1,AI564864,2007,660.0
543,CI27719,1,AI566324,2008,656.0
544,CI23666,1,AI563731,2003,656.0
545,CI24962,1,AI564589,2007,655.0
546,CI27204,1,AI566000,2008,655.0
547,CI24855,1,AI564544,2007,655.0
548,CI24888,1,AI564563,2007,655.0
549,CI27468,1,AI566191,2008,655.0
550,CI25432,1,AI564300,2007,654.0
551,CI25598,1,AI565091,2007,653.0
552,CI25106,1,AI564346,2007,649.0
553,CI24869,1,AI564551,2007,649.0
554,CI27427,1,AI564274,2008,647.0
555,CI23724,1,AI563773,2005,647.0
556,CI24673,2,AI564419,2007,646.0
557,CI26921,1,AI565468,2002,645.0
558,CI26291,1,AI565529,2008,645.0
559,CI24297,1,AI564162,2004,645.0
560,CI26916,1,AI565468,2002,645.0
561,CI28676,1,AI566745,2009,644.0
562,CI23696,1,AI563753,2006,643.0
563,CI26244,1,AI565489,2007,643.0
564,CI27654,1,AI566297,2004,642.0
565,CI24729,1,AI564459,2007,637.0
566,CI28577,1,AI564105,2009,637.0
567,CI27465,1,AI566188,2008,637.0
568,CI24535,1,AI564275,2006,636.0
569,CI25849,1,AI565270,2007,636.0
570,CI24704,2,AI564437,2007,636.0
571,CI29030,1,AI566867,2010,635.0
572,CI25380,1,AI564923,2006,634.0
573,CI25732,1,AI564088,2008,634.0
574,CI26129,1,AI565458,2008,634.0
575,CI26056,1,AI563965,2008,631.0
576,CI27716,1,AI566321,2008,629.0
577,CI25725,1,AI565187,2008,629.0
578,CI27046,1,AI565908,1999,627.0
579,CI26501,1,AI565150,2008,627.0
580,CI26768,1,AI565877,2008,626.0
581,CI23804,1,AI563835,2002,626.0
582,CI25332,1,AI564856,2007,626.0
583,CI26760,1,AI565871,2008,625.0
584,CI27444,1,AI566168,2008,625.0
585,CI26163,1,AI565468,1999,624.0
586,CI25313,1,AI564873,2007,621.0
587,CI27937,1,AI566419,2003,620.0
588,CI27566,1,AI566255,2008,619.0
589,CI27912,1,AI566419,2003,618.0
590,CI23646,1,AI563719,2006,617.0
591,CI26840,1,AI565906,2005,616.0
592,CI26593,1,AI565761,2008,615.0
593,CI24795,1,AI564504,2007,615.0
594,CI26197,1,AI565469,2003,615.0
595,CI25301,1,AI564861,2007,614.0
596,CI26874,1,AI565468,2004,613.0
597,CI24971,1,AI564626,2007,612.0
598,CI28143,1,AI564266,2009,611.0
599,CI23924,1,AI563923,2006,609.0
600,CI24898,1,AI564573,2007,606.0
601,CI23830,1,AI563737,2005,606.0
602,CI26907,1,AI565468,2002,602.0
603,CI26077,1,AI563576,2008,600.0
604,CI27740,1,AI566345,2008,600.0
605,CI25260,1,AI564055,2007,598.0
606,CI25559,1,AI564402,2007,597.0
607,CI25784,1,AI565217,2007,596.0
608,CI24954,1,AI563790,2007,595.0
609,CI27098,1,AI565944,2005,594.0
610,CI25011,1,AI564656,2007,592.0
611,CI24147,1,AI564060,2006,592.0
612,CI23971,1,AI563951,2006,591.0
613,CI27587,1,AI566266,2008,591.0
614,CI24521,1,AI564344,2006,591.0
615,CI26958,1,AI565909,2005,589.0
616,CI24376,1,AI564227,2006,588.0
617,CI27922,1,AI564649,2009,588.0
618,CI28479,1,AI563655,2009,587.0
619,CI25688,1,AI563815,2007,587.0
620,CI25116,1,AI564733,2007,586.0
621,CI25134,1,AI564742,2007,585.0
622,CI27365,1,AI564274,2008,585.0
623,CI27919,1,AI566421,2009,582.0
624,CI24900,1,AI564575,2007,582.0
625,CI25294,1,AI564856,2007,581.0
626,CI24852,1,AI564542,2006,580.0
627,CI25072,1,AI564698,2007,579.0
628,CI24883,1,AI563611,2007,579.0
629,CI28481,1,AI563750,2009,579.0
630,CI23702,1,AI563691,2003,576.0
631,CI26388,1,AI565603,2008,575.0
632,CI28575,1,AI564746,2009,574.0
633,CI24973,1,AI564628,2007,574.0
634,CI23511,1,AI563607,2004,573.0
635,CI25222,1,AI564803,2007,572.0
636,CI27933,1,AI566430,2009,572.0
637,CI26906,1,AI565468,2002,570.0
638,CI26737,1,AI563703,2008,569.0
639,CI25286,1,AI564850,2007,568.0
640,CI24264,1,AI564135,2005,567.0
641,CI26835,1,AI565905,2005,567.0
642,CI25180,1,AI563732,2007,566.0
643,CI25729,1,AI563734,2008,565.0
644,CI23598,1,AI563680,2003,565.0
645,CI23688,1,AI563747,2005,564.0
646,CI27793,1,AI566371,2004,564.0
647,CI26406,3,AI565617,2008,563.0
