user_sequence,challenge
4774_12,CI26156
4774_13,CI26157
4778_11,CI26155
4778_12,CI26157
4778_13,CI26173
4780_11,CI24917
4780_12,CI24261
4780_13,CI27282
4782_11,CI24261
4782_12,CI23975
4782_13,CI26955
4783_11,CI26155
4783_12,CI26156
4783_13,CI26213
4784_11,CI24261
4784_12,CI23933
4784_13,CI23714
4786_11,CI26156
4786_12,CI26157
4786_13,CI26173
4790_11,CI27282
4790_12,CI26052
4790_13,CI25634
4791_11,CI24261
4791_12,CI23975
4791_13,CI26955
4794_11,CI24917
4794_12,CI23855
4794_13,CI24261
4796_11,CI24261
4796_12,CI23714
4796_13,CI27282
4803_11,CI24917
4803_12,CI23855
4803_13,CI24261
4805_11,CI24261
4805_12,CI23975
4805_13,CI26955
4807_11,CI24261
4807_12,CI23933
4807_13,CI23714
4808_11,CI24261
4808_12,CI23975
4808_13,CI26955
4814_11,CI24261
4814_12,CI23714
4814_13,CI27282
4817_11,CI26155
4817_12,CI26156
4817_13,CI26173
4821_11,CI24261
4821_12,CI23933
4821_13,CI27282
4822_11,CI28569
4822_12,CI28530
4822_13,CI27920
4825_11,CI24917
4825_12,CI24261
4825_13,CI27282
4827_11,CI24261
4827_12,CI23975
4827_13,CI23913
4832_11,CI24917
4832_12,CI24261
4832_13,CI23933
4840_11,CI24261
4840_12,CI23975
4840_13,CI26955
4841_11,CI23855
4841_12,CI24261
4841_13,CI27282
4846_11,CI26155
4846_12,CI26156
4846_13,CI26157
4852_11,CI26155
4852_12,CI26156
4852_13,CI26157
4857_11,CI24917
4857_12,CI27282
4857_13,CI26052
4860_11,CI24261
4860_12,CI23975
4860_13,CI26939
4862_11,CI24261
4862_12,CI23975
4862_13,CI26939
4866_11,CI26155
4866_12,CI26156
4866_13,CI26157
4870_11,CI28567
4870_12,CI28530
4870_13,CI27920
4872_11,CI24917
4872_12,CI24261
4872_13,CI23933
4873_11,CI24261
4873_12,CI23975
4873_13,CI26939
4874_11,CI26155
4874_12,CI26156
4874_13,CI26157
4875_11,CI24917
4875_12,CI24261
4875_13,CI23933
4876_11,CI24917
4876_12,CI24261
4876_13,CI23933
4877_11,CI26155
4877_12,CI26156
4877_13,CI26157
4881_11,CI24917
4881_12,CI27282
4881_13,CI26052
4883_11,CI23855
4883_12,CI24261
4883_13,CI27282
4885_11,CI26155
4885_12,CI26165
4885_13,CI26156
4886_11,CI28570
4886_12,CI28530
4886_13,CI27920
4887_11,CI24917
4887_12,CI24261
4887_13,CI23933
4891_11,CI24917
4891_12,CI24261
4891_13,CI27282
4893_11,CI24261
4893_12,CI23975
4893_13,CI26955
4895_11,CI24917
4895_12,CI24261
4895_13,CI27282
4901_11,CI26155
4901_12,CI26156
4901_13,CI26173
4902_11,CI24261
4902_12,CI23975
4902_13,CI26955
4906_11,CI24261
4906_12,CI23933
4906_13,CI27282
4912_11,CI24261
4912_12,CI23975
4912_13,CI26939
4913_11,CI24261
4913_12,CI23933
4913_13,CI23714
4915_11,CI24917
4915_12,CI23855
4915_13,CI23933
4920_11,CI26155
4920_12,CI26156
4920_13,CI26173
4926_11,CI24261
4926_12,CI23975
4926_13,CI26939
4928_11,CI24917
4928_12,CI23855
4928_13,CI24261
4929_11,CI24261
4929_12,CI23975
4929_13,CI23913
4933_11,CI24917
4933_12,CI24261
4933_13,CI23933
4935_11,CI24917
4935_12,CI24261
4935_13,CI23933
4938_11,CI24261
4938_12,CI23975
4938_13,CI26955
4941_11,CI26155
4941_12,CI26156
4941_13,CI26157
4944_11,CI24917
4944_12,CI24261
4944_13,CI23933
4945_11,CI24917
4945_12,CI23855
4945_13,CI24261
4952_11,CI24917
4952_12,CI23855
4952_13,CI24261
4954_11,CI24917
4954_12,CI24261
4954_13,CI23933
4955_11,CI26917
4955_12,CI26902
4955_13,CI26905
4957_11,CI26155
4957_12,CI26156
4957_13,CI26213
4961_11,CI26155
4961_12,CI26157
4961_13,CI26213
4962_11,CI24261
4962_12,CI23975
4962_13,CI26939
4966_11,CI26155
4966_12,CI26156
4966_13,CI26157
4968_11,CI24261
4968_12,CI23933
4968_13,CI27282
4969_11,CI24917
4969_12,CI24261
4969_13,CI23714
4970_11,CI24917
4970_12,CI24261
4970_13,CI27282
4971_11,CI24917
4971_12,CI24261
4971_13,CI23933
4973_11,CI24917
4973_12,CI23855
4973_13,CI24261
4975_11,CI26156
4975_12,CI26157
4975_13,CI26173
4987_11,CI26155
4987_12,CI26156
4987_13,CI26157
4989_11,CI24917
4989_12,CI23855
4989_13,CI24261
4993_11,CI24261
4993_12,CI27282
4993_13,CI26052
4997_11,CI24917
4997_12,CI24261
4997_13,CI23714
4998_11,CI24261
4998_12,CI27282
4998_13,CI26052
4999_11,CI24261
4999_12,CI23975
4999_13,CI26939
5001_11,CI24261
5001_12,CI23975
5001_13,CI26939
5003_11,CI28567
5003_12,CI28570
5003_13,CI28530
5006_11,CI24261
5006_12,CI23975
5006_13,CI26955
5008_11,CI26155
5008_12,CI26156
5008_13,CI26157
5015_11,CI24917
5015_12,CI27282
5015_13,CI26052
5017_11,CI26155
5017_12,CI26165
5017_13,CI26156
5020_11,CI26155
5020_12,CI26165
5020_13,CI26156
5021_11,CI26156
5021_12,CI26157
5021_13,CI26173
5023_11,CI24917
5023_12,CI24261
5023_13,CI23714
5025_11,CI24261
5025_12,CI23975
5025_13,CI26939
5027_11,CI24917
5027_12,CI24261
5027_13,CI27282
5028_11,CI24261
5028_12,CI23975
5028_13,CI26939
5033_11,CI24261
5033_12,CI23933
5033_13,CI27282
5035_11,CI28569
5035_12,CI28530
5035_13,CI27920
5037_11,CI24261
5037_12,CI23975
5037_13,CI26955
5042_11,CI26155
5042_12,CI26156
5042_13,CI26157
5044_11,CI24917
5044_12,CI23855
5044_13,CI24261
5045_11,CI23855
5045_12,CI24261
5045_13,CI23933
5047_11,CI24261
5047_12,CI23975
5047_13,CI26955
5050_11,CI26155
5050_12,CI26157
5050_13,CI26213
5051_11,CI24917
5051_12,CI24261
5051_13,CI23933
5054_11,CI24261
5054_12,CI23975
5054_13,CI23913
5055_11,CI24261
5055_12,CI23975
5055_13,CI26939
5056_11,CI24261
5056_12,CI27282
5056_13,CI26052
5057_11,CI27805
5057_12,CI27808
5057_13,CI27800
5058_11,CI23855
5058_12,CI24261
5058_13,CI23933
5060_11,CI24917
5060_12,CI24261
5060_13,CI23933
5062_11,CI24261
5062_12,CI23933
5062_13,CI23714
5063_11,CI26155
5063_12,CI26165
5063_13,CI26156
5068_11,CI23855
5068_12,CI24261
5068_13,CI23714
5074_11,CI24917
5074_12,CI23933
5074_13,CI23714
5075_11,CI26155
5075_12,CI26165
5075_13,CI26156
5077_11,CI23663
5077_12,CI24230
5077_13,CI27805
5082_11,CI28569
5082_12,CI28570
5082_13,CI28530
5084_11,CI26155
5084_12,CI26156
5084_13,CI26157
5085_11,CI24917
5085_12,CI24261
5085_13,CI27282
5087_11,CI24917
5087_12,CI24261
5087_13,CI27282
5088_11,CI24261
5088_12,CI23975
5088_13,CI23913
5090_11,CI24917
5090_12,CI24261
5090_13,CI23933
5091_11,CI26155
5091_12,CI26165
5091_13,CI26156
5096_11,CI26155
5096_12,CI26165
5096_13,CI26156
5097_11,CI23855
5097_12,CI27282
5097_13,CI26052
5101_11,CI24261
5101_12,CI23975
5101_13,CI26955
5110_11,CI26155
5110_12,CI26157
5110_13,CI26173
5112_11,CI24917
5112_12,CI24261
5112_13,CI23933
5114_11,CI26155
5114_12,CI26165
5114_13,CI26156
5121_11,CI26155
5121_12,CI26156
5121_13,CI26213
5123_11,CI23855
5123_12,CI24261
5123_13,CI27282
5124_11,CI26155
5124_12,CI26165
5124_13,CI26156
5125_11,CI26155
5125_12,CI26165
5125_13,CI26156
5127_11,CI26155
5127_12,CI26165
5127_13,CI26156
5132_11,CI26155
5132_12,CI26165
5132_13,CI26156
5138_11,CI24917
5138_12,CI24261
5138_13,CI23714
5139_11,CI28569
5139_12,CI28570
5139_13,CI28530
5140_11,CI26904
5140_12,CI26917
5140_13,CI26903
5144_11,CI24917
5144_12,CI23855
5144_13,CI24261
5146_11,CI26938
5146_12,CI27018
5146_13,CI27019
5147_11,CI24917
5147_12,CI23855
5147_13,CI24261
5151_11,CI28567
5151_12,CI28570
5151_13,CI28530
5152_11,CI24917
5152_12,CI24261
5152_13,CI23933
5157_11,CI23855
5157_12,CI23714
5157_13,CI27282
5158_11,CI24917
5158_12,CI24261
5158_13,CI23933
5159_11,CI24261
5159_12,CI23975
5159_13,CI26939
5161_11,CI27019
5161_12,CI27020
5161_13,CI27037
5163_11,CI24917
5163_12,CI24261
5163_13,CI23714
5166_11,CI24917
5166_12,CI23855
5166_13,CI24261
5167_11,CI24917
5167_12,CI24261
5167_13,CI23933
5169_11,CI26155
5169_12,CI26156
5169_13,CI26157
5172_11,CI23855
5172_12,CI24261
5172_13,CI23933
5175_11,CI24917
5175_12,CI24261
5175_13,CI23714
5180_11,CI24917
5180_12,CI24261
5180_13,CI23714
5182_11,CI24261
5182_12,CI23933
5182_13,CI23714
5184_11,CI26155
5184_12,CI26165
5184_13,CI26156
5187_11,CI24917
5187_12,CI24261
5187_13,CI23933
5188_11,CI24261
5188_12,CI27282
5188_13,CI26052
5190_11,CI24917
5190_12,CI23855
5190_13,CI24261
5192_11,CI26155
5192_12,CI26165
5192_13,CI26156
5195_11,CI24917
5195_12,CI23855
5195_13,CI24261
5197_11,CI26155
5197_12,CI26165
5197_13,CI26156
5199_11,CI24261
5199_12,CI23933
5199_13,CI23714
5202_11,CI24917
5202_12,CI25634
5202_13,CI25142
5209_11,CI24917
5209_12,CI24261
5209_13,CI23933
5212_11,CI26155
5212_12,CI26156
5212_13,CI26157
5213_11,CI26156
5213_12,CI26157
5213_13,CI26173
5214_11,CI24917
5214_12,CI23855
5214_13,CI24261
5216_11,CI23663
5216_12,CI24230
5216_13,CI27805
5218_11,CI24261
5218_12,CI23975
5218_13,CI26939
5219_11,CI26155
5219_12,CI26157
5219_13,CI26213
5220_11,CI26917
5220_12,CI26902
5220_13,CI26903
5222_11,CI24917
5222_12,CI24261
5222_13,CI23933
5225_11,CI24917
5225_12,CI24261
5225_13,CI23714
5228_11,CI24261
5228_12,CI23714
5228_13,CI27282
5229_11,CI25634
5229_12,CI25142
5229_13,CI24915
5230_11,CI24917
5230_12,CI23933
5230_13,CI23714
5234_11,CI24261
5234_12,CI23975
5234_13,CI23913
5235_11,CI24261
5235_12,CI23933
5235_13,CI27282
5236_11,CI24917
5236_12,CI24261
5236_13,CI23933
5239_11,CI24261
5239_12,CI23975
5239_13,CI26939
5240_11,CI26155
5240_12,CI26165
5240_13,CI26156
5244_11,CI24917
5244_12,CI24261
5244_13,CI27282
5246_11,CI24917
5246_12,CI24261
5246_13,CI23933
5247_11,CI24261
5247_12,CI23975
5247_13,CI26939
5249_11,CI24917
5249_12,CI23855
5249_13,CI24261
5250_11,CI24917
5250_12,CI23855
5250_13,CI24261
5252_11,CI24917
5252_12,CI23855
5252_13,CI24261
5254_11,CI24917
5254_12,CI24261
5254_13,CI23933
5258_11,CI26155
5258_12,CI26165
5258_13,CI26164
5260_11,CI28569
5260_12,CI28570
5260_13,CI28586
5262_11,CI24261
5262_12,CI23975
5262_13,CI26939
5264_11,CI26155
5264_12,CI26165
5264_13,CI26156
5265_11,CI24261
5265_12,CI23975
5265_13,CI23913
5266_11,CI26917
5266_12,CI26902
5266_13,CI26903
5268_11,CI24261
5268_12,CI23975
5268_13,CI26939
5271_11,CI26155
5271_12,CI26165
5271_13,CI26156
5283_11,CI28570
5283_12,CI28530
5283_13,CI27920
5284_11,CI28567
5284_12,CI28570
5284_13,CI28530
5286_11,CI23663
5286_12,CI24230
5286_13,CI27805
5289_11,CI24917
5289_12,CI25634
5289_13,CI25142
5297_11,CI26155
5297_12,CI26156
5297_13,CI26157
5301_11,CI24917
5301_12,CI24261
5301_13,CI27282
5303_11,CI23855
5303_12,CI24261
5303_13,CI27282
5305_11,CI26155
5305_12,CI26165
5305_13,CI26156
5309_11,CI23855
5309_12,CI24261
5309_13,CI23933
5315_11,CI26155
5315_12,CI26165
5315_13,CI26156
5319_11,CI24261
5319_12,CI23933
5319_13,CI27282
5320_11,CI24917
5320_12,CI23855
5320_13,CI24261
5326_11,CI26155
5326_12,CI26157
5326_13,CI26164
5327_11,CI24261
5327_12,CI23975
5327_13,CI26939
5328_11,CI23714
5328_12,CI27282
5328_13,CI26052
5329_11,CI23714
5329_12,CI27282
5329_13,CI25634
5331_11,CI26155
5331_12,CI26165
5331_13,CI26156
5333_11,CI26155
5333_12,CI26165
5333_13,CI26156
5338_11,CI24917
5338_12,CI23855
5338_13,CI24261
5340_11,CI26155
5340_12,CI26165
5340_13,CI26156
5346_11,CI24917
5346_12,CI23855
5346_13,CI24261
5349_11,CI24261
5349_12,CI23714
5349_13,CI27282
5351_11,CI24917
5351_12,CI24261
5351_13,CI23933
5352_11,CI28567
5352_12,CI28530
5352_13,CI27920
5358_11,CI24261
5358_12,CI23933
5358_13,CI27282
5360_11,CI24917
5360_12,CI23855
5360_13,CI24261
5365_11,CI24917
5365_12,CI24261
5365_13,CI27282
5366_11,CI23663
5366_12,CI24230
5366_13,CI27805
5368_11,CI24917
5368_12,CI23855
5368_13,CI24261
5378_11,CI26155
5378_12,CI26165
5378_13,CI26156
5381_11,CI23855
5381_12,CI24261
5381_13,CI27282
5382_11,CI26938
5382_12,CI27018
5382_13,CI27020
5384_11,CI26155
5384_12,CI26165
5384_13,CI26156
5386_11,CI24917
5386_12,CI24261
5386_13,CI23933
5387_11,CI23855
5387_12,CI24261
5387_13,CI27282
5396_11,CI26155
5396_12,CI26156
5396_13,CI26213
5398_11,CI28569
5398_12,CI28570
5398_13,CI28530
5399_11,CI24261
5399_12,CI23975
5399_13,CI26939
5401_11,CI24917
5401_12,CI23855
5401_13,CI24261
5404_11,CI26904
5404_12,CI26917
5404_13,CI26902
5406_11,CI24917
5406_12,CI24261
5406_13,CI23714
5409_11,CI26155
5409_12,CI26165
5409_13,CI26156
5417_11,CI24917
5417_12,CI27282
5417_13,CI26052
5423_11,CI24917
5423_12,CI23855
5423_13,CI23714
5424_11,CI23855
5424_12,CI24261
5424_13,CI23933
5425_11,CI26155
5425_12,CI26165
5425_13,CI26156
5428_11,CI24917
5428_12,CI23855
5428_13,CI24261
5435_11,CI26155
5435_12,CI26165
5435_13,CI26156
5436_11,CI26155
5436_12,CI26157
5436_13,CI26213
5438_11,CI24917
5438_12,CI23855
5438_13,CI24261
5440_11,CI23855
5440_12,CI24261
5440_13,CI23714
5442_11,CI26155
5442_12,CI26165
5442_13,CI26156
5443_11,CI26155
5443_12,CI26165
5443_13,CI26156
5444_11,CI24261
5444_12,CI23975
5444_13,CI26939
5446_11,CI24261
5446_12,CI23975
5446_13,CI23913
5450_11,CI24261
5450_12,CI23714
5450_13,CI27282
5451_11,CI24261
5451_12,CI23933
5451_13,CI27282
5453_11,CI26155
5453_12,CI26165
5453_13,CI26156
5454_11,CI23933
5454_12,CI23714
5454_13,CI27282
5456_11,CI23933
5456_12,CI23714
5456_13,CI27282
5460_11,CI24261
5460_12,CI23975
5460_13,CI26939
5461_11,CI24917
5461_12,CI23933
5461_13,CI27282
5462_11,CI23855
5462_12,CI24261
5462_13,CI23714
5470_11,CI23663
5470_12,CI24230
5470_13,CI27805
5471_11,CI26155
5471_12,CI26165
5471_13,CI26156
5473_11,CI24261
5473_12,CI23975
5473_13,CI26939
5477_11,CI26938
5477_12,CI27018
5477_13,CI27019
5480_11,CI24917
5480_12,CI27282
5480_13,CI26052
5481_11,CI26155
5481_12,CI26165
5481_13,CI26156
5483_11,CI24261
5483_12,CI23975
5483_13,CI26939
5485_11,CI26938
5485_12,CI27018
5485_13,CI27019
5486_11,CI24917
5486_12,CI24261
5486_13,CI23933
5487_11,CI26155
5487_12,CI26165
5487_13,CI26156
5490_11,CI24261
5490_12,CI23975
5490_13,CI26939
5495_11,CI26902
5495_12,CI26905
5495_13,CI26930
5496_11,CI24261
5496_12,CI23975
5496_13,CI26939
5504_11,CI26155
5504_12,CI26165
5504_13,CI26156
5507_11,CI28567
5507_12,CI28570
5507_13,CI28530
5510_11,CI24261
5510_12,CI23975
5510_13,CI26939
5512_11,CI24261
5512_12,CI23975
5512_13,CI26939
5516_11,CI24917
5516_12,CI25634
5516_13,CI25142
5523_11,CI24261
5523_12,CI23975
5523_13,CI26939
5526_11,CI26155
5526_12,CI26165
5526_13,CI26156
5527_11,CI24917
5527_12,CI23855
5527_13,CI24261
5528_11,CI24261
5528_12,CI23975
5528_13,CI26939
5529_11,CI23855
5529_12,CI24261
5529_13,CI27282
5531_11,CI26155
5531_12,CI26165
5531_13,CI26157
5532_11,CI26165
5532_12,CI26156
5532_13,CI26157
5533_11,CI26917
5533_12,CI26902
5533_13,CI26905
5539_11,CI24917
5539_12,CI24261
5539_13,CI23933
5543_11,CI26173
5543_12,CI26213
5543_13,CI26220
5547_11,CI23714
5547_12,CI27282
5547_13,CI26052
5555_11,CI26155
5555_12,CI26157
5555_13,CI26173
5556_11,CI26155
5556_12,CI26165
5556_13,CI26156
5561_11,CI26155
5561_12,CI26165
5561_13,CI26157
5563_11,CI28570
5563_12,CI28530
5563_13,CI27920
5565_11,CI28570
5565_12,CI28530
5565_13,CI27920
5568_11,CI24917
5568_12,CI23855
5568_13,CI24261
5573_11,CI24917
5573_12,CI23855
5573_13,CI24261
5574_11,CI26938
5574_12,CI27018
5574_13,CI27019
5577_11,CI26155
5577_12,CI26165
5577_13,CI26156
5579_11,CI26155
5579_12,CI26165
5579_13,CI26156
5582_11,CI24261
5582_12,CI23975
5582_13,CI26939
5584_11,CI26155
5584_12,CI26165
5584_13,CI26156
5599_11,CI24917
5599_12,CI24261
5599_13,CI23933
5604_11,CI26155
5604_12,CI26165
5604_13,CI26156
5607_11,CI24917
5607_12,CI23933
5607_13,CI23714
5608_11,CI26155
5608_12,CI26165
5608_13,CI26156
5612_11,CI24917
5612_12,CI23855
5612_13,CI24261
5616_11,CI25634
5616_12,CI25142
5616_13,CI24915
5620_11,CI24917
5620_12,CI24261
5620_13,CI23933
5622_11,CI24261
5622_12,CI23933
5622_13,CI27282
5623_11,CI26165
5623_12,CI26173
5623_13,CI26213
5628_11,CI26155
5628_12,CI26165
5628_13,CI26156
5629_11,CI28569
5629_12,CI28530
5629_13,CI27920
5632_11,CI24917
5632_12,CI23855
5632_13,CI23933
5642_11,CI24261
5642_12,CI23975
5642_13,CI26939
5644_11,CI26902
5644_12,CI26903
5644_13,CI26930
5645_11,CI24261
5645_12,CI23975
5645_13,CI26939
5647_11,CI24917
5647_12,CI23855
5647_13,CI24261
5648_11,CI24261
5648_12,CI23975
5648_13,CI23913
5652_11,CI24917
5652_12,CI24261
5652_13,CI23933
5655_11,CI26155
5655_12,CI26165
5655_13,CI26156
5660_11,CI24917
5660_12,CI23933
5660_13,CI23714
5663_11,CI24261
5663_12,CI23975
5663_13,CI23913
5664_11,CI24261
5664_12,CI23975
5664_13,CI23913
5665_11,CI26904
5665_12,CI26917
5665_13,CI26905
5667_11,CI24917
5667_12,CI23855
5667_13,CI24261
5668_11,CI24917
5668_12,CI23855
5668_13,CI24261
5669_11,CI24917
5669_12,CI23855
5669_13,CI24261
5676_11,CI24261
5676_12,CI23975
5676_13,CI26939
5677_11,CI25634
5677_12,CI25142
5677_13,CI24915
5684_11,CI23855
5684_12,CI24261
5684_13,CI23933
5685_11,CI24917
5685_12,CI23855
5685_13,CI24261
5686_11,CI24917
5686_12,CI23933
5686_13,CI23714
5690_11,CI24261
5690_12,CI23975
5690_13,CI26939
5691_11,CI24917
5691_12,CI24261
5691_13,CI23714
5692_11,CI26155
5692_12,CI26156
5692_13,CI26157
5693_11,CI23714
5693_12,CI27282
5693_13,CI26052
5695_11,CI26155
5695_12,CI26165
5695_13,CI26156
5698_11,CI26155
5698_12,CI26165
5698_13,CI26156
5708_11,CI24917
5708_12,CI24261
5708_13,CI23933
5709_11,CI24917
5709_12,CI24261
5709_13,CI23933
5712_11,CI24261
5712_12,CI23933
5712_13,CI23714
5714_11,CI26155
5714_12,CI26165
5714_13,CI26157
5720_11,CI24261
5720_12,CI23933
5720_13,CI27282
5721_11,CI24261
5721_12,CI23933
5721_13,CI27282
5723_11,CI24917
5723_12,CI25634
5723_13,CI25142
5726_11,CI24917
5726_12,CI25634
5726_13,CI25142
5733_11,CI23855
5733_12,CI24261
5733_13,CI23714
5735_11,CI26938
5735_12,CI27018
5735_13,CI27019
5739_11,CI24917
5739_12,CI23855
5739_13,CI24261
5741_11,CI24261
5741_12,CI23975
5741_13,CI26939
5743_11,CI24917
5743_12,CI24261
5743_13,CI23714
5745_11,CI24917
5745_12,CI24261
5745_13,CI23933
5746_11,CI24917
5746_12,CI24261
5746_13,CI23933
5747_11,CI24917
5747_12,CI24261
5747_13,CI23933
5748_11,CI26155
5748_12,CI26165
5748_13,CI26156
5750_11,CI26155
5750_12,CI26156
5750_13,CI26157
5755_11,CI24917
5755_12,CI23855
5755_13,CI24261
5756_11,CI24917
5756_12,CI23714
5756_13,CI27282
5766_11,CI26155
5766_12,CI26165
5766_13,CI26156
5768_11,CI23855
5768_12,CI24261
5768_13,CI23933
5771_11,CI26155
5771_12,CI26165
5771_13,CI26164
5772_11,CI24917
5772_12,CI24261
5772_13,CI23933
5774_11,CI28570
5774_12,CI28530
5774_13,CI27920
5778_11,CI24917
5778_12,CI23855
5778_13,CI24261
5780_11,CI24917
5780_12,CI25634
5780_13,CI25142
5782_11,CI24917
5782_12,CI23933
5782_13,CI27282
5785_11,CI24917
5785_12,CI25634
5785_13,CI25142
5787_11,CI24261
5787_12,CI23975
5787_13,CI26939
5791_11,CI24917
5791_12,CI24261
5791_13,CI23933
5795_11,CI24917
5795_12,CI23855
5795_13,CI24261
5796_11,CI26902
5796_12,CI26903
5796_13,CI26930
5798_11,CI24261
5798_12,CI23975
5798_13,CI26955
5801_11,CI24917
5801_12,CI23855
5801_13,CI24261
5803_11,CI26917
5803_12,CI26902
5803_13,CI26903
5804_11,CI26155
5804_12,CI26165
5804_13,CI26156
5805_11,CI23714
5805_12,CI25634
5805_13,CI23975
5808_11,CI24261
5808_12,CI23975
5808_13,CI26939
5809_11,CI24917
5809_12,CI23855
5809_13,CI24261
5810_11,CI26155
5810_12,CI26165
5810_13,CI26156
5820_11,CI26155
5820_12,CI26165
5820_13,CI26156
5822_11,CI23855
5822_12,CI24261
5822_13,CI23714
5823_11,CI24917
5823_12,CI23855
5823_13,CI24261
5825_11,CI24261
5825_12,CI23975
5825_13,CI26939
5827_11,CI24261
5827_12,CI27282
5827_13,CI26052
5828_11,CI24261
5828_12,CI27282
5828_13,CI26052
5829_11,CI24917
5829_12,CI23855
5829_13,CI24261
